n	individuo	poblacion	sitio	lon	lat	codigo	Temp_med_anual	Precip_anual	Intervalo_medio_diurno	Isotermalidad	Rango_anual_temp
82	SAM229	pop24	Tucuman	-64.916862	-27.116741	T	20.25	821	13.2833337783813	47.954273223877	27.7000007629395
83	SAM23	pop6	Hock 	-64.317433	-28.354983	K	20.6166667938232	624	13.8833332061768	47.8735618591309	29
84	SAM230	pop7	Sastre	-61.83655	-31.739067	Sas	17.5666675567627	925	13.0166664123535	48.9348373413086	26.6000003814697
85	SAM231	pop7	Sastre	-61.83655	-31.739067	Sas	17.5666675567627	925	13.0166664123535	48.9348373413086	26.6000003814697
86	SAM232	pop7	Sastre	-61.83655	-31.739067	Sas	17.5666675567627	925	13.0166664123535	48.9348373413086	26.6000003814697
87	SAM233	pop25	Icaño	-65.283599	-28.916943	ica	20.1875	507	14.0083332061768	47.6473922729492	29.3999996185303
88	SAM234	pop25	Icaño	-65.283599	-28.916943	ica	20.1875	507	14.0083332061768	47.6473922729492	29.3999996185303
89	SAM235	pop25	Icaño	-65.283599	-28.916943	ica	20.1875	507	14.0083332061768	47.6473922729492	29.3999996185303
90	SAM236	pop25	Icaño	-65.283599	-28.916943	ica	20.1875	507	14.0083332061768	47.6473922729492	29.3999996185303
91	SAM237	pop25	Icaño	-65.283599	-28.916943	ica	20.1875	507	14.0083332061768	47.6473922729492	29.3999996185303
92	SAM238	pop25	Icaño	-65.283599	-28.916943	ica	20.1875	507	14.0083332061768	47.6473922729492	29.3999996185303
93	SAM239	pop25	Icaño	-65.283599	-28.916943	ica	20.1875	507	14.0083332061768	47.6473922729492	29.3999996185303
94	SAM24 	pop6	Hock 	-64.317433	-28.354983	K	20.6166667938232	624	13.8833332061768	47.8735618591309	29
95	SAM240	pop25	Icaño	-65.283599	-28.916943	ica	20.1875	507	14.0083332061768	47.6473922729492	29.3999996185303
96	SAM241	pop25	Icaño	-65.283599	-28.916943	ica	20.1875	507	14.0083332061768	47.6473922729492	29.3999996185303
97	SAM242	pop24	Tucuman	-64.916862	-27.116741	T	20.25	821	13.2833337783813	47.954273223877	27.7000007629395
98	SAM243	pop24	Tucuman	-64.916862	-27.116741	T	20.25	821	13.2833337783813	47.954273223877	27.7000007629395
99	SAM244	pop25	Icaño	-65.283599	-28.916943	ica	20.1875	507	14.0083332061768	47.6473922729492	29.3999996185303
100	SAM245	pop24	Tucuman	-64.916862	-27.116741	T	20.25	821	13.2833337783813	47.954273223877	27.7000007629395
101	SAM246	pop25	Icaño	-65.283599	-28.916943	ica	20.1875	507	14.0083332061768	47.6473922729492	29.3999996185303
102	SAM247	pop25	Icaño	-65.283599	-28.916943	ica	20.1875	507	14.0083332061768	47.6473922729492	29.3999996185303
103	SAM248	pop26	Recreo	-65.066731	-29.266763	Rec	20.7000007629395	472	13.6499996185303	47.2318344116211	28.8999977111816
104	SAM249	pop26	Recreo	-65.066731	-29.266763	Rec	20.7000007629395	472	13.6499996185303	47.2318344116211	28.8999977111816
105	SAM25	pop6	Hock 	-64.317433	-28.354983	K	20.6166667938232	624	13.8833332061768	47.8735618591309	29
106	SAM250	pop26	Recreo	-65.066731	-29.266763	Rec	20.7000007629395	472	13.6499996185303	47.2318344116211	28.8999977111816
107	SAM251	pop26	Recreo	-65.066731	-29.266763	Rec	20.7000007629395	472	13.6499996185303	47.2318344116211	28.8999977111816
108	SAM252	pop26	Recreo	-65.066731	-29.266763	Rec	20.7000007629395	472	13.6499996185303	47.2318344116211	28.8999977111816
109	SAM253	pop26	Recreo	-65.066731	-29.266763	Rec	20.7000007629395	472	13.6499996185303	47.2318344116211	28.8999977111816
110	SAM255	pop24	Tucuman	-64.916862	-27.116741	T	20.25	821	13.2833337783813	47.954273223877	27.7000007629395
111	SAM256	pop26	Recreo	-65.066731	-29.266763	Rec	20.7000007629395	472	13.6499996185303	47.2318344116211	28.8999977111816
112	SAM257	pop24	Tucuman	-64.916862	-27.116741	T	20.25	821	13.2833337783813	47.954273223877	27.7000007629395
113	SAM258	pop24	Tucuman	-64.916862	-27.116741	T	20.25	821	13.2833337783813	47.954273223877	27.7000007629395
114	SAM259	pop26	Recreo	-65.066731	-29.266763	Rec	20.7000007629395	472	13.6499996185303	47.2318344116211	28.8999977111816
115	SAM26 	pop6	Hock 	-64.317433	-28.354983	K	20.6166667938232	624	13.8833332061768	47.8735618591309	29
116	SAM260	pop26	Recreo	-65.066731	-29.266763	Rec	20.7000007629395	472	13.6499996185303	47.2318344116211	28.8999977111816
117	SAM261	pop26	Tucuman	-64.916862	-27.116741	T	20.25	821	13.2833337783813	47.954273223877	27.7000007629395
118	SAM262	pop26	Recreo	-65.066731	-29.266763	Rec	20.7000007629395	472	13.6499996185303	47.2318344116211	28.8999977111816
119	SAM263	pop27	La Banda	-64.200064	-27.733594	laba	20.5375003814697	635	13.6083335876465	48.0859870910645	28.2999992370605
120	SAM264	pop27	La Banda	-64.200064	-27.733594	laba	20.5375003814697	635	13.6083335876465	48.0859870910645	28.2999992370605
121	SAM265	pop27	La Banda	-64.200064	-27.733594	laba	20.5375003814697	635	13.6083335876465	48.0859870910645	28.2999992370605
122	SAM266	pop27	La Banda	-64.200064	-27.733594	laba	20.5375003814697	635	13.6083335876465	48.0859870910645	28.2999992370605
123	SAM267	pop27	La Banda	-64.200064	-27.733594	laba	20.5375003814697	635	13.6083335876465	48.0859870910645	28.2999992370605
124	SAM268	pop27	La Banda	-64.200064	-27.733594	laba	20.5375003814697	635	13.6083335876465	48.0859870910645	28.2999992370605
125	SAM269	pop26	Tucuman	-64.916862	-27.116741	T	20.25	821	13.2833337783813	47.954273223877	27.7000007629395
126	SAM27	pop6	Hock 	-64.317433	-28.354983	K	20.6166667938232	624	13.8833332061768	47.8735618591309	29
127	SAM270	pop27	La Banda	-64.200064	-27.733594	laba	20.5375003814697	635	13.6083335876465	48.0859870910645	28.2999992370605
128	SAM271	pop27	La Banda	-64.200064	-27.733594	laba	20.5375003814697	635	13.6083335876465	48.0859870910645	28.2999992370605
129	SAM272	pop27	La Banda	-64.200064	-27.733594	laba	20.5375003814697	635	13.6083335876465	48.0859870910645	28.2999992370605
130	SAM273	pop28	San Martin	-65.76675	-29.216733	SM	20.8333339691162	460	13.8500003814697	46.0132865905762	30.1000003814697
131	SAM274	pop28	San Martin	-65.76675	-29.216733	SM	20.8333339691162	460	13.8500003814697	46.0132865905762	30.1000003814697
132	SAM275	pop28	San Martin	-65.76675	-29.216733	SM	20.8333339691162	460	13.8500003814697	46.0132865905762	30.1000003814697
133	SAM276	pop28	San Martin	-65.76675	-29.216733	SM	20.8333339691162	460	13.8500003814697	46.0132865905762	30.1000003814697
134	SAM277	pop28	San Martin	-65.76675	-29.216733	SM	20.8333339691162	460	13.8500003814697	46.0132865905762	30.1000003814697
135	SAM278	pop28	San Martin	-65.76675	-29.216733	SM	20.8333339691162	460	13.8500003814697	46.0132865905762	30.1000003814697
136	SAM279	pop28	San Martin	-65.76675	-29.216733	SM	20.8333339691162	460	13.8500003814697	46.0132865905762	30.1000003814697
137	SAM28 	pop7	Sastre	-61.83655	-31.739067	Sas	17.5666675567627	925	13.0166664123535	48.9348373413086	26.6000003814697
138	SAM280	pop28	San Martin	-65.76675	-29.216733	SM	20.8333339691162	460	13.8500003814697	46.0132865905762	30.1000003814697
139	SAM281	pop28	San Martin	-65.76675	-29.216733	SM	20.8333339691162	460	13.8500003814697	46.0132865905762	30.1000003814697
140	SAM282	pop28	San Martin	-65.76675	-29.216733	SM	20.8333339691162	460	13.8500003814697	46.0132865905762	30.1000003814697
141	SAM283	pop26	Tucuman	-64.916862	-27.116741	T	20.25	821	13.2833337783813	47.954273223877	27.7000007629395
142	SAM284	pop28	San Martin	-65.76675	-29.216733	SM	20.8333339691162	460	13.8500003814697	46.0132865905762	30.1000003814697
143	SAM285	pop28	San Martin	-65.76675	-29.216733	SM	20.8333339691162	460	13.8500003814697	46.0132865905762	30.1000003814697
144	SAM286	pop28	San Martin	-65.76675	-29.216733	SM	20.8333339691162	460	13.8500003814697	46.0132865905762	30.1000003814697
145	SAM287	pop26	Tucuman	-64.916862	-27.116741	T	20.25	821	13.2833337783813	47.954273223877	27.7000007629395
146	SAM288	pop26	Tucuman	-64.916862	-27.116741	T	20.25	821	13.2833337783813	47.954273223877	27.7000007629395
147	SAM29	pop7	Sastre	-61.83655	-31.739067	Sas	17.5666675567627	925	13.0166664123535	48.9348373413086	26.6000003814697
148	SAM3	pop1   	San José de la esquina	-61.711733	-33.13565	Sje	16.7666664123535	948	13.1000003814697	48.6988868713379	26.8999996185303
149	SAM30 	pop7	Sastre	-61.83655	-31.739067	Sas	17.5666675567627	925	13.0166664123535	48.9348373413086	26.6000003814697
150	SAM31	pop7	Sastre	-61.83655	-31.739067	Sas	17.5666675567627	925	13.0166664123535	48.9348373413086	26.6000003814697
151	SAM32 	pop8	La Guardia	-65.4564	-29.5521	lg	20.6875	448	13.2583332061768	46.0358810424805	28.7999992370605
152	SAM33	pop8	La Guardia	-65.4564	-29.5521	lg	20.6875	448	13.2583332061768	46.0358810424805	28.7999992370605
153	SAM34 	pop8	La Guardia	-65.4564	-29.5521	lg	20.6875	448	13.2583332061768	46.0358810424805	28.7999992370605
154	SAM35	pop9	Las Varillas	-62.71995	-31.857717	Var	17.2458324432373	835	13.3583335876465	48.575756072998	27.5
155	SAM36 	pop9	Las Varillas	-62.71995	-31.857717	Var	17.2458324432373	835	13.3583335876465	48.575756072998	27.5
156	SAM37	pop9	Las Varillas	-62.71995	-31.857717	Var	17.2458324432373	835	13.3583335876465	48.575756072998	27.5
157	SAM38 	pop9	Las Varillas	-62.71995	-31.857717	Var	17.2458324432373	835	13.3583335876465	48.575756072998	27.5
158	SAM39	pop9	Las Varillas	-62.71995	-31.857717	Var	17.2458324432373	835	13.3583335876465	48.575756072998	27.5
159	SAM4 	pop1    	San José de la esquina	-61.711733	-33.13565	Sje	16.7666664123535	948	13.1000003814697	48.6988868713379	26.8999996185303
160	SAM40	pop9	Las Varillas	-62.71995	-31.857717	Var	17.2458324432373	835	13.3583335876465	48.575756072998	27.5
161	SAM41	pop9	Las Varillas	-62.71995	-31.857717	Var	17.2458324432373	835	13.3583335876465	48.575756072998	27.5
162	SAM42 	pop9	Las Varillas	-62.71995	-31.857717	Var	17.2458324432373	835	13.3583335876465	48.575756072998	27.5
163	SAM43	pop10	El Fortín	-62.328683	-31.964667	For	17.2875003814697	872	13.3583335876465	48.575756072998	27.5
164	SAM44 	pop10	El Fortín	-62.328683	-31.964667	For	17.2875003814697	872	13.3583335876465	48.575756072998	27.5
165	SAM45	pop10	El Fortín	-62.328683	-31.964667	For	17.2875003814697	872	13.3583335876465	48.575756072998	27.5
166	SAM46 	pop10	El Fortín	-62.328683	-31.964667	For	17.2875003814697	872	13.3583335876465	48.575756072998	27.5
167	SAM47	pop10	El Fortín	-62.328683	-31.964667	For	17.2875003814697	872	13.3583335876465	48.575756072998	27.5
168	SAM48 	pop10	El Fortín	-62.328683	-31.964667	For	17.2875003814697	872	13.3583335876465	48.575756072998	27.5
169	SAM49	pop10	El Fortín	-62.328683	-31.964667	For	17.2875003814697	872	13.3583335876465	48.575756072998	27.5
170	SAM5	pop2	Diamante	-60.63925	-32.109417	Dia	18.0666656494141	1025	11.2333335876465	46.4187355041504	24.1999988555908
